Player Name,Position,position_rank,Tier,change_last_14,Fp Ranking,Fp Value,One_Constant,Trade Ranking,Trade Value,Value Score
Alvin Kamara,RB,3,Tier 1,9.507843621,3,71.13652969,1,1,86.74849518,15.61196549
Christian McCaffrey,RB,1,Tier 1,-3.029970434,1,86.74849518,1,2,79.93600893,-6.812486246
Dalvin Cook,RB,2,Tier 1,2.191764659,2,79.93600893,1,3,71.13652969,-8.799479241
DK Metcalf,WR,3,Tier 1,10.3532762,7,62.64432621,1,4,68.95880226,6.31447605
Davante Adams,WR,1,Tier 1,-1.323466068,5,68.58372293,1,5,68.58372293,0
Tyreek Hill,WR,4,Tier 1,5.293573645,8,62.24895785,1,6,63.22961647,0.980658624
Josh Jacobs,RB,7,Tier 1,8.83612894,16,55.72171752,1,7,62.64432621,6.922608687
Patrick Mahomes,QB,1,Tier 1,8.066914836,32,42.11680819,1,8,62.24895785,20.13214966
Derrick Henry,RB,15,Tier 1,2.459191069,30,42.52386006,1,9,61.5573912,19.03353114
DeAndre Hopkins,WR,5,Tier 1,2.014303389,9,61.5573912,1,10,61.53456321,-0.022827988
Saquon Barkley,RB,4,Tier 1,7.508385538,4,68.95880226,1,11,61.43769457,-7.52110769
Stefon Diggs,WR,16,Tier 1,12.16324923,35,41.60405222,1,12,58.21051312,16.6064609
Michael Thomas,WR,2,Tier 1,-2.605000994,6,63.22961647,1,13,58.08449107,-5.145125402
Travis Kelce,TE,2,Tier 1,3.556647089,31,42.28052199,1,14,57.33025955,15.04973757
Aaron Jones,RB,12,Tier 1,1.745416378,23,50.45452724,1,15,56.85755928,6.403032039
Nick Chubb,RB,8,Tier 1,2.719067205,17,54.84095156,1,16,55.72171752,0.880765961
Ezekiel Elliott,RB,11,Tier 1,0.163848744,22,50.64205318,1,17,54.84095156,4.19889838
Calvin Ridley,WR,10,Tier 1,0.925452596,21,53.10700886,1,18,53.78034656,0.673337701
Terry McLaurin,WR,8,Tier 1,7.315012433,14,57.33025955,1,19,53.51245049,-3.817809064
Miles Sanders,RB,6,Tier 1,-0.953666225,15,56.85755928,1,20,53.16209306,-3.695466222
AJ Brown,WR,6,Tier 1,3.948459939,11,61.43769457,1,21,53.10700886,-8.330685715
Justin Jefferson,WR,13,Tier 1,4.128722072,28,46.39327941,1,22,50.64205318,4.24877377
Clyde Edwards-Helaire,RB,5,Tier 1,-2.661359232,10,61.53456321,1,23,50.45452724,-11.08003597
Keenan Allen,WR,18,Tier 2,6.293602413,39,39.90147472,1,24,49.56273504,9.661260316
Chris Godwin,WR,7,Tier 1,5.494580581,12,58.21051312,1,25,49.30497458,-8.905538543
CeeDee Lamb,WR,9,Tier 1,-2.290420029,19,53.51245049,1,26,48.83351355,-4.678936936
George Kittle,TE,1,Tier 1,2.068472701,13,58.08449107,1,27,48.34182039,-9.742670678
Joe Mixon,RB,16,Tier 1,-0.847008791,34,41.67664591,1,28,46.39327941,4.716633503
Jonathan Taylor,RB,13,Tier 1,-0.383653588,25,49.30497458,1,29,42.7673741,-6.537600475
Tyler Lockett,WR,26,Tier 2,-1.980079737,52,35.26783245,1,30,42.52386006,7.25602761
JK Dobbins,RB,10,Tier 1,0.627024481,20,53.16209306,1,31,42.28052199,-10.88157107
Amari Cooper,WR,15,Tier 1,3.971340383,33,42.09066661,1,32,42.11680819,0.026141579
D'Andre Swift,RB,9,Tier 1,-0.578937831,18,53.78034656,1,33,42.09066661,-11.68967994
Mike Evans,WR,20,Tier 2,5.41232959,43,38.08321364,1,34,41.67664591,3.593432265
Darren Waller,TE,4,Tier 2,7.323145354,55,34.14979723,1,35,41.60405222,7.454254989
Josh Allen,QB,7,Tier 3,4.646286063,68,28.52872357,1,36,40.89358765,12.36486408
Kareem Hunt,RB,19,Tier 2,1.550017319,41,39.58284216,1,37,40.26283754,0.679995377
Tyler Boyd,WR,24,Tier 2,6.79006699,48,36.32725835,1,38,40.0256982,3.698439852
TJ Hockenson,TE,6,Tier 2,6.72035522,60,30.93934645,1,39,39.90147472,8.962128271
Lamar Jackson,QB,6,Tier 3,5.93023127,67,28.87896383,1,40,39.81339042,10.9344266
Julio Jones,WR,25,Tier 2,1.74927871,49,36.10613539,1,41,39.58284216,3.476706775
Austin Ekeler,RB,14,Tier 1,2.624203081,26,48.83351355,1,42,38.74985036,-10.08366319
Mark Andrews,TE,3,Tier 2,5.969456015,40,39.81339042,1,43,38.08321364,-1.73017678
Allen Robinson,WR,12,Tier 1,3.078503531,27,48.34182039,1,44,37.94789605,-10.39392434
Russell Wilson,QB,3,Tier 2,-8.108562502,51,35.43488324,1,45,37.61224465,2.177361411
DJ Moore,WR,11,Tier 1,-0.465417495,24,49.56273504,1,46,37.2664582,-12.29627684
Jerry Jeudy,WR,27,Tier 2,4.909059672,53,34.9546591,1,47,36.68185814,1.727199039
Deshaun Watson,QB,4,Tier 2,1.449567437,57,32.72757409,1,48,36.32725835,3.599684257
Kyler Murray,QB,2,Tier 2,-12.23136375,44,37.94789605,1,49,36.10613539,-1.841760667
Justin Herbert,QB,12,Tier 3,3.024998301,107,20.19908065,1,50,35.46302898,15.26394833
Aaron Rodgers,QB,11,Tier 3,4.425950607,106,20.2028989,1,51,35.43488324,15.23198435
Chris Carson,RB,23,Tier 2,4.738315632,61,30.8504889,1,52,35.26783245,4.417343547
Will Fuller,WR,37,Tier 3,4.55233565,86,23.404441,1,53,34.9546591,11.55021811
Antonio Gibson,RB,17,Tier 1,3.655125748,36,40.89358765,1,54,34.35428543,-6.539302221
James Robinson,RB,18,Tier 1,1.756122923,38,40.0256982,1,55,34.14979723,-5.875900967
DJ Chark,WR,19,Tier 2,7.371522471,42,38.74985036,1,56,32.75157327,-5.998277099
Kenny Golladay,WR,14,Tier 1,-7.739321915,29,42.7673741,1,57,32.72757409,-10.03980001
Brandon Aiyuk,WR,39,Tier 3,3.374650912,88,22.98025739,1,58,32.5312848,9.551027403
Tee Higgins,WR,17,Tier 1,-1.972026079,37,40.26283754,1,59,32.30556662,-7.957270923
Dak Prescott,QB,5,Tier 2,5.639229626,62,30.6970077,1,60,30.93934645,0.242338751
Robert Woods,WR,29,Tier 3,-0.095094027,65,29.93394521,1,61,30.8504889,0.916543693
Cooper Kupp,WR,23,Tier 2,0.949927061,47,36.68185814,1,62,30.6970077,-5.984850442
James Conner,RB,24,Tier 2,-3.012423371,63,30.23853176,1,63,30.23853176,0
Noah Fant,TE,5,Tier 2,-2.000913941,56,32.75157327,1,64,30.13439475,-2.617178516
Cam Akers,RB,20,Tier 2,1.656392127,50,35.46302898,1,65,29.93394521,-5.529083767
JuJu Smith-Schuster,WR,22,Tier 2,-2.841667159,46,37.2664582,1,66,29.11190984,-8.154548363
Adam Thielen,WR,33,Tier 3,-0.638001862,75,26.86630668,1,67,28.87896383,2.012657151
Jalen Reagor,WR,30,Tier 3,0.292629031,69,28.02376527,1,68,28.52872357,0.504958301
Diontae Johnson,WR,35,Tier 3,-0.204997876,82,24.52183764,1,69,28.02376527,3.501927629
Chase Claypool,WR,34,Tier 3,-2.090853128,79,25.85275665,1,70,27.35019152,1.49743487
Odell Beckham,WR,31,Tier 3,0.62224372,70,27.35019152,1,71,27.33981679,-0.010374726
David Montgomery,RB,21,Tier 2,-1.126953051,58,32.5312848,1,72,27.13864967,-5.392635124
Courtland Sutton,WR,21,Tier 2,2.868817186,45,37.61224465,1,73,27.03293921,-10.57930544
Tua Tagovailoa,QB,9,Tier 3,2.017743606,102,20.4088423,1,74,26.94172667,6.532884369
Melvin Gordon,RB,29,Tier 3,1.161742829,80,25.57239514,1,75,26.86630668,1.293911534
Dallas Goedert,TE,8,Tier 3,4.092741308,74,26.94172667,1,76,26.79113178,-0.150594891
Ronald Jones,RB,22,Tier 2,4.582461812,59,32.30556662,1,77,26.74358029,-5.561986328
2021 Round 1,Pick,1,Tier 4,0.599844102,,,1,78,26.64942779,0
Dede Westbrook,WR,80,Tier 4,0,208,11.62739211,1,79,26.17193965,14.54454754
Todd Gurley,RB,28,Tier 3,-1.562789174,78,26.17193965,1,80,25.85275665,-0.319183
Evan Engram,TE,11,Tier 3,4.791598532,96,21.57000096,1,81,25.57239514,4.002394181
Deebo Samuel,WR,28,Tier 2,-1.92564008,54,34.35428543,1,82,24.75159957,-9.60268586
Laviska Shenault,WR,45,Tier 3,7.478329369,103,20.39243008,1,83,24.52183764,4.129407562
Joe Burrow,QB,8,Tier 3,-13.30852413,77,26.74358029,1,84,24.10190311,-2.641677178
Robby Anderson,WR,43,Tier 3,-3.461286707,97,21.55534525,1,85,23.55674915,2.001403905
Christian Kirk,WR,44,Tier 3,1.130555839,100,20.79361576,1,86,23.50973152,2.716115769
Hunter Henry,TE,7,Tier 3,-1.179331851,66,29.11190984,1,87,23.404441,-5.70746884
Corey Davis,WR,53,Tier 4,8.001022353,130,16.92811544,1,88,23.25278413,6.32466869
Damien Harris,RB,41,Tier 4,2.409057279,121,17.64990713,1,89,22.98025739,5.330350262
Kenyan Drake,RB,25,Tier 2,2.161829713,64,30.13439475,1,90,22.96309269,-7.171302057
Chase Edmonds,RB,37,Tier 3,-0.235601132,104,20.34468314,1,91,22.53846959,2.193786449
Brandin Cooks,WR,49,Tier 4,-2.525395404,117,18.52713757,1,92,22.46161066,3.934473088
Raheem Mostert,RB,27,Tier 3,-0.578756676,72,27.13864967,1,93,22.38647331,-4.752176363
Michael Pittman,WR,47,Tier 4,3.588529665,115,18.82407128,1,94,22.30451798,3.480446701
Henry Ruggs,WR,42,Tier 3,-0.125152911,95,21.83037228,1,95,22.12432318,0.293950893
2022 Round 1,Pick,2,Tier 4,-1.195812995,,,1,96,22.05036166,0
Leonard Fournette,RB,31,Tier 3,0.211184406,84,23.55674915,1,97,21.83037228,-1.726376871
Ben Roethlisberger,QB,28,Tier 4,1.691910743,170,13.9514611,1,98,21.57000096,7.618539857
Michael Gallup,WR,32,Tier 3,-0.811845119,73,27.03293921,1,99,21.55534525,-5.477593963
Devin Singletary,RB,26,Tier 3,-2.147609497,71,27.33981679,1,100,21.4400337,-5.89978309
2023 Round 1,Pick,3,Tier 4,-6.003640753,,,1,101,21.40591133,0
Mike Williams,WR,41,Tier 3,2.518244527,93,22.30451798,1,102,21.29405398,-1.010464005
Marquise Brown,WR,36,Tier 3,1.856912406,83,24.10190311,1,103,20.79361576,-3.308287356
David Johnson,RB,33,Tier 3,-1.628507277,91,22.46161066,1,104,20.63327297,-1.828337683
Jonnu Smith,TE,9,Tier 3,-1.170362905,76,26.79113178,1,105,20.4088423,-6.382289478
Jared Goff,QB,13,Tier 3,5.912950987,108,20.07874159,1,106,20.39243008,0.313688487
Zack Moss,RB,32,Tier 3,1.323747792,85,23.50973152,1,107,20.34468314,-3.165048386
Darius Slayton,WR,46,Tier 4,2.345119783,113,19.13505406,1,108,20.31341808,1.17836402
Zach Ertz,TE,12,Tier 3,0.0296742,99,21.29405398,1,109,20.2028989,-1.091155082
Darrell Henderson,RB,30,Tier 3,-0.443918279,81,24.75159957,1,110,20.19908065,-4.552518921
Hayden Hurst,TE,14,Tier 4,-0.424791177,118,18.42114077,1,111,20.07874159,1.657600821
DeVante Parker,WR,38,Tier 3,-2.180248241,87,23.25278413,1,112,19.58217352,-3.670610612
Jamison Crowder,WR,61,Tier 4,0.148556454,144,15.74252363,1,113,19.28699771,3.544474079
Jarvis Landry,WR,40,Tier 3,-0.190451691,90,22.53846959,1,114,19.14494722,-3.393522368
Curtis Samuel,WR,54,Tier 4,2.857388441,132,16.73462084,1,115,19.13649263,2.401871791
Tom Brady,QB,26,Tier 4,0.889804377,165,14.38053289,1,116,19.13505406,4.754521166
Matt Ryan,QB,15,Tier 4,-2.390354432,112,19.13649263,1,117,19.02419497,-0.112297664
Mike Davis,RB,74,Tier 4,1.652236316,256,8.818062821,1,118,18.82407128,10.00600846
AJ Dillon,RB,34,Tier 3,-3.743879308,92,22.38647331,1,119,18.66186892,-3.724604393
Denzel Mims,WR,48,Tier 4,-0.114841621,116,18.66186892,1,120,18.52713757,-0.134731347
Carson Wentz,QB,17,Tier 4,-1.937540653,120,18.02328211,1,121,18.42114077,0.397858656
Mecole Hardman,WR,51,Tier 4,-3.851580261,126,17.40310691,1,122,18.18774106,0.784634156
Antonio Brown,WR,83,Tier 4,-0.785695612,215,11.08538725,1,123,18.02328211,6.937894863
Travis Fulgham,WR,75,Tier 4,-1.860985337,195,12.32056514,1,124,17.64990713,5.329341993
Ryan Tannehill,QB,10,Tier 3,-0.695967123,105,20.31341808,1,125,17.62960388,-2.683814201
Derek Carr,QB,25,Tier 4,0.430901617,157,14.86470925,1,126,17.54557143,2.680862181
Cole Beasley,WR,92,Tier 4,4.843819555,239,9.975519227,1,127,17.52767141,7.552152181
AJ Green,WR,63,Tier 4,0.359270565,156,14.95247522,1,128,17.4078391,2.455363874
Myles Gaskin,RB,44,Tier 4,-0.927647024,140,16.1434072,1,129,17.40310691,1.259699712
Irv Smith,TE,15,Tier 4,1.105493356,123,17.54557143,1,130,17.27616555,-0.269405887
Alexander Mattison,RB,36,Tier 3,1.481933688,98,21.4400337,1,131,17.26957856,-4.170455141
James Washington,WR,68,Tier 4,8.229042092,171,13.85370737,1,132,17.02450725,3.170799887
Jack Doyle,TE,34,Tier 4,0,207,11.75126264,1,133,16.92811544,5.176852798
Jerick McKinnon,RB,54,Tier 4,2.375090959,179,13.25030811,1,134,16.80706902,3.556760911
James White,RB,43,Tier 4,4.23264293,124,17.52767141,1,135,16.73462084,-0.793050564
2021 Round 2,Pick,4,Tier 4,1.584953381,,,1,136,16.66265949,0
Rob Gronkowski,TE,28,Tier 4,1.333639572,187,12.80912077,1,137,16.62367578,3.814555007
Sterling Shepard,WR,55,Tier 4,-0.022474543,134,16.56838213,1,138,16.56838213,0
Le'Veon Bell,RB,40,Tier 4,-1.857249559,114,19.02419497,1,139,16.43888164,-2.585313334
Austin Hooper,TE,13,Tier 3,0.893995857,101,20.63327297,1,140,16.42917019,-4.204102786
Teddy Bridgewater,QB,24,Tier 4,-2.771778143,150,15.19212269,1,141,16.39637862,1.204255935
Mike Gesicki,TE,10,Tier 3,-0.969316142,89,22.96309269,1,142,16.37945976,-6.583632932
Nyheim Hines,RB,51,Tier 4,-2.068294981,163,14.43691867,1,143,16.24696331,1.810044641
Cam Newton,QB,19,Tier 4,-0.84797192,133,16.62367578,1,144,16.1434072,-0.480268584
Jamaal Williams,RB,56,Tier 4,2.266960645,182,13.18087697,1,145,15.96320735,2.782330378
Phillip Lindsay,RB,35,Tier 3,-2.19286385,94,22.12432318,1,146,15.87770215,-6.246621025
Dalton Schultz,TE,32,Tier 4,1.99943599,201,12.03592557,1,147,15.84265865,3.806733087
Preston Williams,WR,58,Tier 4,2.05500004,137,16.39637862,1,148,15.74252363,-0.65385499
JD McKissic,RB,97,Tier 4,0.816377612,,,1,149,15.68805747,0
Julian Edelman,WR,65,Tier 4,0,162,14.60558683,1,150,15.67826241,1.072675584
Matthew Stafford,QB,14,Tier 4,-0.566788943,111,19.14494722,1,151,15.52003127,-3.624915952
Tarik Cohen,RB,42,Tier 4,1.309711875,122,17.62960388,1,152,15.46643669,-2.163167187
Bryan Edwards,WR,59,Tier 4,-2.033001259,141,15.96320735,1,153,15.32866142,-0.634545928
Jimmy Graham,TE,40,Tier 4,1.065306282,236,10.01162669,1,154,15.19796071,5.186334012
Breshad Perriman,WR,72,Tier 4,8.042346649,188,12.80603184,1,155,15.19212269,2.386090843
Rashaad Penny,RB,47,Tier 4,0.652472004,153,15.06473926,1,156,15.12544322,0.060703961
Kerryon Johnson,RB,49,Tier 4,4.856459474,158,14.78987648,1,157,15.1090339,0.319157421
Salvon Ahmed,RB,98,Tier 4,2.278226137,,,1,158,15.10086811,0
Blake Jarwin,TE,26,Tier 4,-0.727510514,175,13.68093878,1,159,15.06473926,1.383800479
John Brown,WR,57,Tier 4,4.865005412,136,16.42917019,1,160,15.06416748,-1.365002705
Josh Reynolds,WR,87,Tier 4,1.411512072,226,10.54846272,1,161,14.95382554,4.405362821
Cole Kmet,TE,18,Tier 4,2.027067507,138,16.37945976,1,162,14.95247522,-1.42698454
Sammy Watkins,WR,62,Tier 4,1.465643886,152,15.1090339,1,163,14.86470925,-0.24432465
